地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
下埔下１２２號,,104/10/13,945,0,46.14,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,建物第一次登記後移轉
埔後３２-１號３樓-５,,104/10/07,260,22.8,11.43,84.27%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３１-１號２樓,,104/10/07,728,22.5,32.4,84.84%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
埔後３２-１號２樓-６,,104/10/07,238,24.1,9.89,84.29%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
東坑２３之１號,,104/10/05,730,19.8,36.91,83.17%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
東坑１９號,,104/10/05,1130,0,69.29,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉
東坑２３之１號二樓,,104/10/05,620,16.8,36.91,83.17%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
東坑１７號,,104/10/05,1250,0,67.4,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉
東坑１８號,,104/10/05,1250,0,69.29,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉
東坑２１號,,104/10/05,1150,0,70.39,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉
東坑２０號,,104/10/05,1250,0,70.49,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉
埔後３１之１號３樓,,104/09/29,639.9,20.7,30.93,,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 單獨車位交易。;
頂堡２５２號,,104/09/18,500,16.8,29.79,86.42%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５５號三樓,,104/09/18,500,14.1,35.34,77.79%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５２號三樓,,104/09/18,500,16.8,29.75,86.54%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５５號二樓,,104/09/18,500,14.1,35.34,77.79%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５２號二樓,,104/09/18,500,16.8,29.75,86.54%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５３號二樓,,104/09/18,500,17,29.41,86.86%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５３號三樓,,104/09/18,500,17,29.41,86.86%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
頂堡２５３號,,104/09/18,450,15.6,28.76,88.84%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐４８之７號三樓,,104/09/14,350,17.8,19.65,81.00%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,建物第一次登記後移轉
安岐１３１號,,104/09/14,620,14.4,43.02,58.97%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,無,無,住家用,
埔後３２號二樓之５,,104/09/10,250,21.9,11.42,84.30%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號二樓之６,,104/09/10,225,22.7,9.89,84.29%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號二樓之５,,104/09/10,270,23.6,11.43,84.27%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號二樓之１,,104/09/10,235,24.5,9.59,80.79%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號二樓之２,,104/09/10,225,23.7,9.5,79.60%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號二樓之３,,104/09/10,225,23.5,9.57,79.58%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號二樓之２,,104/09/10,225,23.7,9.51,79.57%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號二樓之１,,104/09/10,227,23.9,9.5,80.89%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號三樓之５,,104/09/10,283,24.8,11.42,84.30%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號三樓之６,,104/09/10,238,24.1,9.89,84.29%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號三樓之６,,104/09/10,238,24.1,9.89,84.29%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號三樓之１,,104/09/10,215,22.4,9.59,80.79%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號三樓之２,,104/09/10,230,24.2,9.5,79.60%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２號三樓之３,,104/09/10,230,24,9.57,79.60%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號三樓之３,,104/09/10,225,23.5,9.57,79.58%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號三樓之２,,104/09/10,220,23.1,9.51,79.57%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後３２之１號三樓之１,,104/09/10,233,24.5,9.5,80.89%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,建物第一次登記後移轉
東州７６號二樓之一,,104/09/07,285,16.8,16.96,57.47%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
東州７６之２號,,104/09/07,780,18.4,42.47,58.08%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,建物第一次登記後移轉
東州７６之１號,,104/09/07,730,17.3,42.25,58.04%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之１１號三樓,,104/09/01,750,15.2,49.43,57.45%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房0廳4衛,,無,無,住家用,
安岐２７０之１號二樓,,104/08/28,425,17,25.02,,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０號３樓之１,,104/08/25,408,16,25.43,,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之２號２樓,,104/08/12,380,14.8,25.74,90.54%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之１號３樓,,104/08/04,412,16.5,25.02,,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之３號二樓,,104/08/03,430,15.7,27.34,82.60%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０號３樓,,104/07/31,328.2,16,20.58,,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之２號,,104/07/23,399,15.5,25.74,90.53%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之１號,,104/07/23,390,15.8,24.64,85.54%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之２號３樓,,104/07/23,395,15.3,25.74,90.54%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２７０之３號３樓,,104/07/23,407,15.3,26.57,,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 親友、員工或其他特殊關係間之交易。;
上后垵１３-７號,,104/07/20,1250,0,57.17,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,5房2廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１９３號,,104/07/16,245,22.1,11.07,80.20%,套房(1房(1廳)1衛),1,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
安岐２０７號三樓,,104/07/15,490,18.3,26.79,85.04%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２０８號三樓,,104/07/15,490,18.3,26.79,85.04%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２０６號三樓,,104/07/15,510,19,26.79,85.04%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２０６號,,104/07/15,540,20.2,26.79,85.04%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２０７號,,104/07/15,580,21.6,26.79,85.04%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２０８號二樓,,104/07/15,530,19.8,26.79,85.04%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐２０６號二樓,,104/07/15,500,18.7,26.79,85.04%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號三樓之１,,104/07/07,210,22.4,9.38,74.89%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２８號二樓之３,,104/07/02,205,24.1,8.49,79.34%,套房(1房(1廳)1衛),1,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
埔後４之６號,,104/06/23,960,0,60.78,,透天厝,8,全/三層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,無,無,住家用,
西浦頭７９之３號,,104/06/15,720,0,56.33,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之１１號三樓,,104/06/15,325,13.7,23.64,81.15%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之６號,,104/06/15,800,0,56.33,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之９號三樓,,104/06/15,390,16.2,24.07,81.54%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之５號,,104/06/15,800,0,56.33,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之１０號,,104/06/15,370,15.5,23.81,85.30%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之１１號二樓,,104/06/15,335,14.7,22.77,84.23%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之１０號二樓,,104/06/15,360,15.8,22.77,84.23%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之９號,,104/06/15,370,15.3,24.24,85.60%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之１０號三樓,,104/06/15,370,15.7,23.64,81.15%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之９號二樓,,104/06/15,325,14,23.21,84.56%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐４８之５號二樓,,104/06/08,360,18.7,19.25,80.74%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號二樓之２,,104/06/05,400,19.8,20.25,79.14%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號二樓之３,,104/06/05,210,19.9,10.55,75.01%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號二樓之１,,104/06/05,210,22.4,9.38,74.89%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號二樓,,104/06/05,210,22.4,9.38,74.89%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號三樓,,104/06/05,210,22.4,9.38,74.89%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號三樓之３,,104/06/05,210,19.9,10.54,75.04%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?１７７號三樓之２,,104/06/05,430,21.2,20.24,79.14%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐１３０號,,104/05/10,1200,0,90.08,,透天厝,1,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房1廳4衛,,無,無,住家用,
安岐１３２號,,104/05/09,632,14.2,44.53,57.43%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,無,無,住家用,
昔果山１６２號３樓,,104/04/28,565,19.5,28.99,85.86%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
西堡１３號,,104/04/20,350,12.9,27.12,,其他,48,一層/一層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１５０之１號,,104/04/14,750,22.5,33.33,86.14%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下堡１５０之１號,,104/04/14,750,22.5,33.33,86.14%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
頂埔下７２號,,104/04/08,950,0,57.9,,透天厝,2,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
埔後１９５號,,104/04/07,1150,0,48,,透天厝,3,全/三層,房地(土地+建物),土:2 建:1車:0,6房2廳4衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下堡１９０號,,104/03/12,755,19.9,38.01,89.22%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下埔下１２９號,,104/03/04,1100,0,44.03,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,建物第一次登記後移轉
安岐１３６號,,104/03/04,1320,0,98.28,,透天厝,1,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房1廳4衛,,無,無,住家用,建物第一次登記後移轉
下堡１９５號,,104/02/13,785,21.4,36.68,91.33%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下堡１９５號二樓,,104/02/11,730,19.9,36.68,91.33%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下堡１００之２８號二樓,,104/01/26,232,24.1,9.62,81.85%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
下埔下１２８號,,104/01/21,1030,0,43.1,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,建物第一次登記後移轉
下埔下３２７號三樓,,104/01/16,700,20.8,33.65,83.19%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
下埔下３２８號,,104/01/10,790,24.9,31.76,88.13%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
下埔下３２８號二樓,,104/01/09,660,18.2,36.35,77.00%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
下堡１００之２５號,,103/12/31,188,21.5,8.73,84.07%,套房(1房(1廳)1衛),,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
安岐１２９號,,103/12/31,1186,0,90.23,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房1廳4衛,,無,無,住家用,建物第一次登記後移轉
伯玉路二段１８４至１９８雙號含２，３樓１９６之１地下室等２５戶公共設施,,103/12/30,400,10.2,39.12,67.87%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,無,無,住家用,
安岐１３１號三樓,,103/12/30,588,13.3,44.1,60.88%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐１３５號,,103/12/30,1408,0,107.05,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房1廳4衛,,無,無,住家用,建物第一次登記後移轉
埔邊３６號二樓,,103/12/26,630,20.5,30.67,85.76%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
上后垵１３之６號,,103/12/24,1250,0,55.32,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐１３３號,,103/12/08,1423,0,104.92,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房1廳4衛,,無,無,住家用,建物第一次登記後移轉
安岐１３１號２樓,,103/12/03,545,13.1,41.53,64.66%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐１３２號２樓,,103/12/03,613,13.2,46.29,61.70%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐１３１號,,103/12/03,548.3,12.7,43.02,58.97%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
安岐１３０號,,103/12/03,1175,0,90.08,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房1廳4衛,,無,無,住家用,建物第一次登記後移轉
安岐１３２號３樓,,103/12/03,663,13.3,49.89,57.24%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物)+車位,土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐１３８號,,103/11/25,1300,0,86.43,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１００之２１號二樓,,103/11/25,145,20.4,7.09,74.93%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２２號三樓,,103/11/25,170,24,7.09,74.93%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２１號三樓,,103/11/25,170,24,7.09,74.93%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２３號三樓,,103/11/25,170,15.4,11.06,71.60%,套房(1房(1廳)1衛),,三層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２６號三樓,,103/11/25,565,16.9,33.42,86.76%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２６號二樓,,103/11/25,567,17,33.42,86.76%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２２號二樓,,103/11/25,145,20.4,7.09,74.93%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２７號三樓,,103/11/25,522,15.5,33.69,86.86%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２３號二樓,,103/11/25,155,16.7,9.31,85.05%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２５號二樓,,103/11/25,155,16.7,9.31,85.05%,套房(1房(1廳)1衛),,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２６號,,103/11/25,498,15.5,32.06,89.21%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２７號二樓,,103/11/25,488,14.5,33.69,86.86%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２７號,,103/11/25,518,16,32.33,89.30%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２９號,,103/11/25,558,17,32.92,81.39%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之２８號,,103/11/25,500,15.2,32.96,81.27%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
