總價(萬元),單價,總面積,主建物佔比,型態,管理組織,電梯,交易年份,土,建,車,房,廳,衛,樓別,樓高,地區
563.0,20.6,27.39,74.94%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,一層,5,瓊安路
980.0,20.8,47.14,85.66%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,"一層,地下一層",3,林湖路
220.0,20.8,10.58,64.24%,華廈(10層含以下有電梯),無,有,110,1,1,0,1.0,0.0,1.0,二層,3,頂埔下
260.0,14.9,17.49,64.75%,公寓(5樓含以下無電梯),有,無,110,1,1,1,1.0,1.0,1.0,三層,3,下堡
520.0,22.1,23.48,75.24%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,2.0,1.0,四層,5,湖下
700.0,20.4,34.34,78.68%,華廈(10層含以下有電梯),無,有,110,2,1,0,3.0,1.0,2.0,一層,5,東坑
530.0,22.6,23.48,75.24%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,2.0,1.0,五層,5,湖下
260.0,21.2,12.26,46.52%,華廈(10層含以下有電梯),無,有,110,1,1,0,1.0,0.0,1.0,二層,3,埔邊
520.0,19.4,26.82,74.82%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,三層,5,瓊安路
660.0,21.8,30.33,79.41%,公寓(5樓含以下無電梯),無,無,110,1,2,0,3.0,2.0,2.0,二層,3,下埔下
830.0,17.9,47.07,59.90%,華廈(10層含以下有電梯),有,有,110,1,1,1,3.0,2.0,2.0,一層,6,頂堡
425.0,22.3,19.05,73.29%,華廈(10層含以下有電梯),有,有,110,2,1,0,2.0,1.0,1.0,四層,4,湖下
700.0,23.1,30.33,79.41%,公寓(5樓含以下無電梯),無,無,110,1,2,0,3.0,2.0,2.0,三層,3,下埔下
385.0,29.0,13.29,85.36%,公寓(5樓含以下無電梯),無,無,110,1,1,0,1.0,1.0,1.0,一層,3,頂堡
580.0,19.1,30.29,85.76%,公寓(5樓含以下無電梯),無,無,110,1,1,0,3.0,2.0,2.0,一層,3,昔果山
600.0,23.4,25.69,79.40%,公寓(5樓含以下無電梯),無,無,110,1,2,0,3.0,1.0,2.0,三層,3,東洲
710.0,16.8,42.33,73.81%,公寓(5樓含以下無電梯),有,無,110,1,1,1,3.0,2.0,2.0,一層,3,下堡
625.0,21.7,28.8,83.96%,公寓(5樓含以下無電梯),無,無,110,1,1,0,3.0,2.0,2.0,三層,3,仁愛新
600.0,20.0,30.01,71.86%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,五層,5,瓊安路
562.0,21.2,26.5,72.84%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,二層,5,安岐
480.0,11.6,41.45,88.01%,公寓(5樓含以下無電梯),有,無,110,1,1,0,2.0,2.0,2.0,"一層,地下一層",3,下堡
640.0,21.5,29.75,86.54%,華廈(10層含以下有電梯),無,有,110,2,1,0,3.0,2.0,2.0,三層,3,頂堡
555.0,20.3,27.34,82.60%,公寓(5樓含以下無電梯),有,無,110,1,1,0,3.0,2.0,2.0,二層,3,安岐
400.0,23.9,16.71,80.90%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,1.0,1.0,三層,3,下埔下
470.0,20.2,23.26,75.19%,華廈(10層含以下有電梯),無,有,110,1,1,0,2.0,2.0,1.0,二層,5,湖下
660.0,20.7,31.9,77.45%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,二層,3,林湖路
405.0,24.2,16.76,80.95%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,1.0,1.0,二層,3,下埔下
253.0,20.6,12.3,46.69%,華廈(10層含以下有電梯),無,有,110,1,1,0,,,,二層,3,埔邊
477.0,20.3,23.48,75.24%,華廈(10層含以下有電梯),有,有,110,1,1,0,2.0,2.0,1.0,三層,5,湖下
480.0,20.4,23.48,75.24%,華廈(10層含以下有電梯),無,有,110,1,1,0,2.0,2.0,1.0,二層,5,湖下
477.0,20.5,23.26,75.19%,華廈(10層含以下有電梯),有,有,110,1,1,0,2.0,2.0,1.0,三層,5,湖下
800.0,15.0,53.19,66.06%,華廈(10層含以下有電梯),有,有,110,1,1,1,3.0,2.0,2.0,一層,3,前厝
400.0,23.9,16.76,80.95%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,1.0,1.0,三層,3,下埔下
850.0,15.6,54.45,92.87%,華廈(10層含以下有電梯),無,有,110,5,1,0,3.0,1.0,2.0,一層,1,湖下
450.0,23.8,18.89,74.83%,華廈(10層含以下有電梯),有,有,110,2,1,0,2.0,1.0,1.0,四層,4,湖下
507.0,21.8,23.3,78.63%,公寓(5樓含以下無電梯),無,無,110,1,3,0,1.0,1.0,1.0,二層,3,下堡
500.0,17.2,29.04,76.61%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,三層,5,環島西路二段
750.0,17.8,42.22,58.09%,華廈(10層含以下有電梯),有,有,110,1,1,0,3.0,2.0,2.0,二層,3,東洲
620.0,20.9,29.74,81.29%,公寓(5樓含以下無電梯),無,無,110,1,2,0,3.0,2.0,2.0,三層,3,榜林
425.0,18.1,23.45,69.06%,華廈(10層含以下有電梯),無,有,110,2,1,0,2.0,2.0,2.0,四層,5,西山
425.0,17.2,24.78,76.62%,公寓(5樓含以下無電梯),有,無,110,1,1,0,2.0,2.0,2.0,三層,3,下堡
360.0,15.2,23.65,76.77%,公寓(5樓含以下無電梯),無,無,110,1,2,0,2.0,1.0,1.0,三層,3,湖下
210.0,21.9,9.57,79.58%,公寓(5樓含以下無電梯),無,無,110,1,1,0,1.0,1.0,1.0,三層,3,埔後
428.0,18.6,23.02,70.35%,華廈(10層含以下有電梯),無,有,110,2,1,0,2.0,2.0,2.0,四層,5,西山
360.0,16.0,22.44,80.94%,公寓(5樓含以下無電梯),無,無,110,1,2,0,2.0,1.0,1.0,一層,3,湖下
360.0,15.2,23.65,76.77%,公寓(5樓含以下無電梯),無,無,110,1,2,0,2.0,1.0,1.0,二層,3,湖下
560.0,17.4,32.12,76.01%,華廈(10層含以下有電梯),有,有,110,1,1,0,3.0,1.0,2.0,一層,5,中堡
380.0,22.2,17.12,82.75%,公寓(5樓含以下無電梯),無,無,110,1,2,0,2.0,1.0,2.0,二層,3,湖下
400.0,17.2,23.21,70.60%,華廈(10層含以下有電梯),無,有,110,2,1,0,2.0,2.0,2.0,三層,5,西山
215.0,20.3,10.58,64.24%,公寓(5樓含以下無電梯),無,無,110,1,1,0,,,,三層,3,頂埔下
510.0,14.9,34.2,71.88%,華廈(10層含以下有電梯),無,有,110,2,1,0,3.0,2.0,2.0,三層,5,西山
420.0,17.9,23.45,69.06%,華廈(10層含以下有電梯),無,有,110,2,1,0,2.0,2.0,2.0,二層,5,西山
407.0,22.5,18.07,77.44%,華廈(10層含以下有電梯),有,有,110,2,1,0,2.0,1.0,1.0,一層,4,湖下
407.0,21.4,19.04,73.28%,華廈(10層含以下有電梯),有,有,110,2,1,0,2.0,1.0,1.0,二層,4,湖下
407.0,21.4,19.05,73.29%,華廈(10層含以下有電梯),有,有,110,2,1,0,2.0,1.0,1.0,三層,4,湖下
650.0,22.6,28.76,88.84%,公寓(5樓含以下無電梯),無,無,110,2,1,0,2.0,2.0,2.0,一層,3,頂堡
550.0,21.4,25.74,89.25%,公寓(5樓含以下無電梯),無,無,110,1,1,0,3.0,2.0,2.0,一層,3,嚨口
430.0,18.8,22.86,81.67%,公寓(5樓含以下無電梯),無,無,110,1,1,0,3.0,2.0,2.0,一層,3,安岐
845.0,18.3,47.08,59.88%,華廈(10層含以下有電梯),無,有,110,1,1,1,3.0,2.0,2.0,二層,6,頂堡
425.0,19.2,22.15,83.00%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,1.0,2.0,二層,3,東堡
610.0,17.5,34.88,70.49%,華廈(10層含以下有電梯),無,有,110,2,1,0,3.0,2.0,2.0,三層,4,西山
590.0,12.1,48.67,71.32%,公寓(5樓含以下無電梯),無,無,110,1,1,1,3.0,1.0,2.0,二層,3,湖下
418.0,17.3,24.17,77.24%,公寓(5樓含以下無電梯),無,無,110,1,1,0,3.0,2.0,2.0,三層,3,安岐
1980.0,21.2,93.43,74.93%,華廈(10層含以下有電梯),有,有,110,2,6,0,2.0,1.0,1.0,三層,4,湖下
760.0,16.4,46.83,59.64%,華廈(10層含以下有電梯),無,有,110,1,1,1,3.0,2.0,2.0,五層,6,頂堡
312.8,15.0,20.85,77.09%,華廈(10層含以下有電梯),無,有,110,2,1,0,2.0,2.0,2.0,一層,5,西山
342.8,16.4,20.85,77.09%,華廈(10層含以下有電梯),無,有,110,2,1,0,2.0,2.0,2.0,一層,5,西山
750.0,17.5,42.92,59.90%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,一層,6,頂堡
430.0,18.1,23.81,85.30%,公寓(5樓含以下無電梯),無,無,110,1,1,0,3.0,1.0,2.0,一層,3,西浦頭
600.0,20.7,29.04,76.61%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,五層,5,環島西路二段
588.0,20.2,29.04,76.61%,華廈(10層含以下有電梯),無,有,110,1,1,0,3.0,2.0,2.0,四層,5,環島西路二段
460.0,18.3,25.18,81.89%,公寓(5樓含以下無電梯),無,無,110,1,1,0,2.0,2.0,1.0,二層,3,昔果山
